timestamp,concurrentExecutions
2022/12/22 07:37:00,1
2022/12/22 07:38:00,1
2022/12/22 07:39:00,5
2022/12/22 07:40:00,8
2022/12/22 07:41:00,31
2022/12/22 07:42:00,21
2022/12/22 07:43:00,30
2022/12/22 07:44:00,23
2022/12/22 07:45:00,21
2022/12/22 07:46:00,32
2022/12/22 07:47:00,23
2022/12/22 07:48:00,35
2022/12/22 07:49:00,36
2022/12/22 07:50:00,52
2022/12/22 07:51:00,43
2022/12/22 07:52:00,26
2022/12/22 07:53:00,42
2022/12/22 07:54:00,44
2022/12/22 07:55:00,84
2022/12/22 07:56:00,42
2022/12/22 07:57:00,56
2022/12/22 07:58:00,44
2022/12/22 07:59:00,44
2022/12/22 08:00:00,65
2022/12/22 08:01:00,29
2022/12/22 08:02:00,62
2022/12/22 08:03:00,32
2022/12/22 08:04:00,52
2022/12/22 08:05:00,93
2022/12/22 08:06:00,69
2022/12/22 08:07:00,46
2022/12/22 08:08:00,51
2022/12/22 08:09:00,48
2022/12/22 08:10:00,73
2022/12/22 08:11:00,62
2022/12/22 08:12:00,63
2022/12/22 08:13:00,49
2022/12/22 08:14:00,58
2022/12/22 08:15:00,86
2022/12/22 08:16:00,63
2022/12/22 08:17:00,72
2022/12/22 08:18:00,117
2022/12/22 08:19:00,77
2022/12/22 08:20:00,86
2022/12/22 08:21:00,81
2022/12/22 08:22:00,78
2022/12/22 08:23:00,112
2022/12/22 08:24:00,57
2022/12/22 08:25:00,86
2022/12/22 08:26:00,94
2022/12/22 08:27:00,74
2022/12/22 08:28:00,75
2022/12/22 08:29:00,66
2022/12/22 08:30:00,84
2022/12/22 08:31:00,91
2022/12/22 08:32:00,59
2022/12/22 08:33:00,95
2022/12/22 08:34:00,62
2022/12/22 08:35:00,56
2022/12/22 08:36:00,58
2022/12/22 08:37:00,82
2022/12/22 08:38:00,147
2022/12/22 08:39:00,108
2022/12/22 08:40:00,62
2022/12/22 08:41:00,119
2022/12/22 08:42:00,80
2022/12/22 08:43:00,151
2022/12/22 08:44:00,137
2022/12/22 08:45:00,70
2022/12/22 08:46:00,81
2022/12/22 08:47:00,104
2022/12/22 08:48:00,116
2022/12/22 08:49:00,105
2022/12/22 08:50:00,107
2022/12/22 08:51:00,165
2022/12/22 08:52:00,144
2022/12/22 08:53:00,88
2022/12/22 08:54:00,97
2022/12/22 08:55:00,81
2022/12/22 08:56:00,65
2022/12/22 08:57:00,106
2022/12/22 08:58:00,113
2022/12/22 08:59:00,76
2022/12/22 09:00:00,96
2022/12/22 09:01:00,93
2022/12/22 09:02:00,80
2022/12/22 09:03:00,76
2022/12/22 09:04:00,120
2022/12/22 09:05:00,99
2022/12/22 09:06:00,71
2022/12/22 09:07:00,72
2022/12/22 09:08:00,66
2022/12/22 09:09:00,92
2022/12/22 09:10:00,85
2022/12/22 09:11:00,112
2022/12/22 09:12:00,85
2022/12/22 09:13:00,95
2022/12/22 09:14:00,108
2022/12/22 09:15:00,129
2022/12/22 09:16:00,87
2022/12/22 09:17:00,91
2022/12/22 09:18:00,117
2022/12/22 09:19:00,98
2022/12/22 09:20:00,59
2022/12/22 09:21:00,80
2022/12/22 09:22:00,67
2022/12/22 09:23:00,112
2022/12/22 09:24:00,110
2022/12/22 09:25:00,91
2022/12/22 09:26:00,80
2022/12/22 09:27:00,113
2022/12/22 09:28:00,161
2022/12/22 09:29:00,50
2022/12/22 09:30:00,144
2022/12/22 09:31:00,78
2022/12/22 09:32:00,81
2022/12/22 09:33:00,76
2022/12/22 09:34:00,123
2022/12/22 09:35:00,76
2022/12/22 09:36:00,101
2022/12/22 09:37:00,91
2022/12/22 09:38:00,85
2022/12/22 09:39:00,66
2022/12/22 09:40:00,88
2022/12/22 09:41:00,136
2022/12/22 09:42:00,74
2022/12/22 09:43:00,158
2022/12/22 09:44:00,77
2022/12/22 09:45:00,110
2022/12/22 09:46:00,88
2022/12/22 09:47:00,115
2022/12/22 09:48:00,86
2022/12/22 09:49:00,166
2022/12/22 09:50:00,190
2022/12/22 09:51:00,81
2022/12/22 09:52:00,130
2022/12/22 09:53:00,88
2022/12/22 09:54:00,117
2022/12/22 09:55:00,136
2022/12/22 09:56:00,104
2022/12/22 09:57:00,111
2022/12/22 09:58:00,87
2022/12/22 09:59:00,127
2022/12/22 10:00:00,89
2022/12/22 10:01:00,150
2022/12/22 10:02:00,120
2022/12/22 10:03:00,125
2022/12/22 10:04:00,125
2022/12/22 10:05:00,130
2022/12/22 10:06:00,141
2022/12/22 10:07:00,147
2022/12/22 10:08:00,159
2022/12/22 10:09:00,211
2022/12/22 10:10:00,167
2022/12/22 10:11:00,144
2022/12/22 10:12:00,216
2022/12/22 10:13:00,194
2022/12/22 10:14:00,197
2022/12/22 10:15:00,193
2022/12/22 10:16:00,154
2022/12/22 10:17:00,147
2022/12/22 10:18:00,157
2022/12/22 10:19:00,213
2022/12/22 10:20:00,223
2022/12/22 10:21:00,263
2022/12/22 10:22:00,181
2022/12/22 10:23:00,160
2022/12/22 10:24:00,193
2022/12/22 10:25:00,115
2022/12/22 10:26:00,183
2022/12/22 10:27:00,203
2022/12/22 10:28:00,181
2022/12/22 10:29:00,174
2022/12/22 10:30:00,182
2022/12/22 10:31:00,180
2022/12/22 10:32:00,176
2022/12/22 10:33:00,134
2022/12/22 10:34:00,200
2022/12/22 10:35:00,199
2022/12/22 10:36:00,168
2022/12/22 10:37:00,214
2022/12/22 10:38:00,179
2022/12/22 10:39:00,147
2022/12/22 10:40:00,178
2022/12/22 10:41:00,216
2022/12/22 10:42:00,217
2022/12/22 10:43:00,214
2022/12/22 10:44:00,237
2022/12/22 10:45:00,180
2022/12/22 10:46:00,185
2022/12/22 10:47:00,219
2022/12/22 10:48:00,130
2022/12/22 10:49:00,232
2022/12/22 10:50:00,187
2022/12/22 10:51:00,290
2022/12/22 10:52:00,209
2022/12/22 10:53:00,186
2022/12/22 10:54:00,184
2022/12/22 10:55:00,209
2022/12/22 10:56:00,206
2022/12/22 10:57:00,199
2022/12/22 10:58:00,165
2022/12/22 10:59:00,134
2022/12/22 11:00:00,154
2022/12/22 11:01:00,143
2022/12/22 11:02:00,138
2022/12/22 11:03:00,182
2022/12/22 11:04:00,127
2022/12/22 11:05:00,138
2022/12/22 11:06:00,142
2022/12/22 11:07:00,152
2022/12/22 11:08:00,164
2022/12/22 11:09:00,163
2022/12/22 11:10:00,127
2022/12/22 11:11:00,153
2022/12/22 11:12:00,120
2022/12/22 11:13:00,130
2022/12/22 11:14:00,117
2022/12/22 11:15:00,136
2022/12/22 11:16:00,158
2022/12/22 11:17:00,101
2022/12/22 11:18:00,104
2022/12/22 11:19:00,92
2022/12/22 11:20:00,121
2022/12/22 11:21:00,109
2022/12/22 11:22:00,68
2022/12/22 11:23:00,80
2022/12/22 11:24:00,110
2022/12/22 11:25:00,95
2022/12/22 11:26:00,84
2022/12/22 11:27:00,81
2022/12/22 11:28:00,79
2022/12/22 11:29:00,99
2022/12/22 11:30:00,96
2022/12/22 11:31:00,141
2022/12/22 11:32:00,70
2022/12/22 11:33:00,129
2022/12/22 11:34:00,111
2022/12/22 11:35:00,132
2022/12/22 11:36:00,108
2022/12/22 11:37:00,125
2022/12/22 11:38:00,43
2022/12/22 11:39:00,71
2022/12/22 11:40:00,80
2022/12/22 11:41:00,27
2022/12/22 11:42:00,58
2022/12/22 11:43:00,30
2022/12/22 11:44:00,60
2022/12/22 11:45:00,39
2022/12/22 11:46:00,59
2022/12/22 11:47:00,56
2022/12/22 11:48:00,70
2022/12/22 11:49:00,68
2022/12/22 11:50:00,46
2022/12/22 11:51:00,36
2022/12/22 11:52:00,38
2022/12/22 11:53:00,50
2022/12/22 11:54:00,42
2022/12/22 11:55:00,33
2022/12/22 11:56:00,55
2022/12/22 11:57:00,44
2022/12/22 11:58:00,57
2022/12/22 11:59:00,33
2022/12/22 12:00:00,89
2022/12/22 12:01:00,48
2022/12/22 12:02:00,44
2022/12/22 12:03:00,54
2022/12/22 12:04:00,110
2022/12/22 12:05:00,84
2022/12/22 12:06:00,65
2022/12/22 12:07:00,41
2022/12/22 12:08:00,38
2022/12/22 12:09:00,57
2022/12/22 12:10:00,58
2022/12/22 12:11:00,64
2022/12/22 12:12:00,71
2022/12/22 12:13:00,57
2022/12/22 12:14:00,47
2022/12/22 12:15:00,48
2022/12/22 12:16:00,83
2022/12/22 12:17:00,63
2022/12/22 12:18:00,64
2022/12/22 12:19:00,72
2022/12/22 12:20:00,35
2022/12/22 12:21:00,36
2022/12/22 12:22:00,44
2022/12/22 12:23:00,63
2022/12/22 12:24:00,76
2022/12/22 12:25:00,60
2022/12/22 12:26:00,43
2022/12/22 12:27:00,54
2022/12/22 12:28:00,42
2022/12/22 12:29:00,91
2022/12/22 12:30:00,81
2022/12/22 12:31:00,46
2022/12/22 12:32:00,37
2022/12/22 12:33:00,50
2022/12/22 12:34:00,56
2022/12/22 12:35:00,56
2022/12/22 12:36:00,58
2022/12/22 12:37:00,54
2022/12/22 12:38:00,68
2022/12/22 12:39:00,32
2022/12/22 12:40:00,35
2022/12/22 12:41:00,75
2022/12/22 12:42:00,50
2022/12/22 12:43:00,48
2022/12/22 12:44:00,41
2022/12/22 12:45:00,48
2022/12/22 12:46:00,70
2022/12/22 12:47:00,53
2022/12/22 12:48:00,73
2022/12/22 12:49:00,64
2022/12/22 12:50:00,29
2022/12/22 12:51:00,59
2022/12/22 12:52:00,59
2022/12/22 12:53:00,48
2022/12/22 12:54:00,43
2022/12/22 12:55:00,93
2022/12/22 12:56:00,6